ID,DESCRIPTION.XML_LANG,DESCRIPTION
NGDP_R_XDC,en,"Gross Domestic Product, Real, Domestic Currency"
NGDP_R_SA_XDC,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
NGDP_R_NSA_XDC,en,"Gross Domestic Product, Real, Unadjusted, Domestic Currency"
