ID,DESCRIPTION.XML_LANG,DESCRIPTION
FDSB_SA_EUR,en,"Depository Corporations Survey, Broad Money Liabilities (refers to the Depository Corporations),Seasonally Adjusted, Euros"
FDSB_SA_USD,en,"Depository Corporations Survey, Broad Money Liabilities (refers to the Depository Corporations),Seasonally Adjusted, US Dollars"
FDSBEA_SA_EUR,en,"Depository Corporations Survey, Broad Money Liabilities, Seasonally Adjusted (Euro Area-Wide-Residency), Euros"
FDSADGEA_EUR,en,"Depository Corporations Survey, Claims on Central Government (Euro Area-Wide-Residency), Euros"
FDSAOFEA_EUR,en,"Depository Corporations Survey, Claims on Other Financial Corporations (Euro Area-Wide-Residency), Euros"
FDSAOPEA_EUR,en,"Depository Corporations Survey, Claims on Private  Sector (Euro Area-Wide-Residency), Euros"
FDSAONEA_EUR,en,"Depository Corporations Survey, Claims on Public Nonfinancial Corporations (Euro Area-Wide-Residency), Euros"
FDSAOGEA_EUR,en,"Depository Corporations Survey, Claims on State and Local Government (Euro Area-Wide-Residency), Euros"
FDSDXEA_EUR,en,"Depository Corporations Survey, Deposits Excluded from Broad Money (Euro Area-Wide-Residency), Euros"
FDSFDEA_EUR,en,"Depository Corporations Survey, Financial Derivatives (Euro Area-Wide-Residency), Euros"
FDSIEA_EUR,en,"Depository Corporations Survey, Insurance Technical Reserves ((Euro Area-Wide-Residency), Euros"
FDSLEA_EUR,en,"Depository Corporations Survey, Loans (Euro Area-Wide-Residency), Euros"
FDSDGEA_EUR,en,"Depository Corporations Survey, Net Claims on Central Government (Euro Area-Wide-Residency), Euros"
FDSBR_PT,en,"Depository Corporations Survey, Ratio of Monetary Base to Broad Money, Percent"
FDSSXEA_EUR,en,"Depository Corporations Survey, Securities Other than Shares excl. from Broad Money (Euro Area-Wide-Residency), Euros"
AIPCO_IX,en,"Economic Activity, Industrial Production, Construction, Index"
AIPCO_PC_CP_A_PT,en,"Economic Activity, Industrial Production, Construction, Percentage change, Corresponding period previous year, Percent"
AIPCO_PC_PP_PT,en,"Economic Activity, Industrial Production, Construction, Percentage change, Previous period, Percent"
AIPEE_IX,en,"Economic Activity, Industrial Production, Energy, Electricity Production, Index"
AIPEE_PC_CP_A_PT,en,"Economic Activity, Industrial Production, Energy, Electricity Production, Percentage change, Corresponding period previous year, Percent"
AIPEE_PC_PP_PT,en,"Economic Activity, Industrial Production, Energy, Electricity Production, Percentage change, Previous period, Percent"
AIP_IX,en,"Economic Activity, Industrial Production, Index"
AIPMA_IX,en,"Economic Activity, Industrial Production, Manufacturing, Index"
AIPMA_PC_CP_A_PT,en,"Economic Activity, Industrial Production, Manufacturing, Percentage change, Corresponding period previous year, Percent"
AIPMA_PC_PP_PT,en,"Economic Activity, Industrial Production, Manufacturing, Percentage change, Previous period, Percent"
AIPMI_IX,en,"Economic Activity, Industrial Production, Mining, Index"
AIPMI_PC_CP_A_PT,en,"Economic Activity, Industrial Production, Mining, Percentage change, Corresponding period previous year, Percent"
AIPMI_PC_PP_PT,en,"Economic Activity, Industrial Production, Mining, Percentage change, Previous period, Percent"
AIP_PC_CP_A_PT,en,"Economic Activity, Industrial Production, Percentage change, Corresponding period previous year, Percent"
AIP_PC_PP_PT,en,"Economic Activity, Industrial Production, Percentage change, Previous period, Percent"
