ID,DESCRIPTION.XML_LANG,DESCRIPTION
CG01_GAAFSO_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADAFSO_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADAFSO_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GAAFAE_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADAFAE_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADAFAE_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GAL_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADL_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADL_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GALCD_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADLCD_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADLCD_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GALD_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADLD_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADLD_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GALFD_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADLFD_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADLFD_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GALF_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADLF_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADLF_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GALIR_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADLIR_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADLIR_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GALLS_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADLLS_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADLLS_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GALO_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADLO_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GALSO_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADLSO_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADLSO_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GALAE_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADLAE_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADLAE_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GALW_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Net Financial Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GANW_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Net Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GAAN_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADAN_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADAN_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GADANKC_T_G01_XDC,en,"Central Government (including Social Security), Consumption of fixed capital [=23], Domestic Currency"
CG01_GADANS_T_G01_CA_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Sales of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADANS_T_G01_XDC,en,"Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Sales of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GR_G01_CA_XDC,en,"Fiscal, Central Government, Cash receipts from operating activities, 2001 Manual, Cash, Domestic Currency"
CG01_GXCCB_G01_CA_XDC,en,"Fiscal, Central Government, Cash surplus/deficit [CSD_CA], 2001 Manual, Cash, Domestic Currency"
CG01_GE_G01_CA_XDC,en,"Fiscal, Central Government, Expense, 2001 Manual, Cash, Domestic Currency"
CG01_GE_G01_XDC,en,"Fiscal, Central Government, Expense, 2001 Manual, Domestic Currency"
CG01_GECE_G01_CA_XDC,en,"Fiscal, Central Government, Expense, Compensation of Employees, 2001 Manual, Cash, Domestic Currency"
CG01_GECE_G01_XDC,en,"Fiscal, Central Government, Expense, Compensation of Employees, 2001 Manual, Domestic Currency"
CG01_GEKC_G01_XDC,en,"Fiscal, Central Government, Expense, Consumption of Fixed Capital, 2001 Manual, Domestic Currency"
CG01_GEG_G01_CA_XDC,en,"Fiscal, Central Government, Expense, Grants, 2001 Manual, Cash, Domestic Currency"
CG01_GEG_G01_XDC,en,"Fiscal, Central Government, Expense, Grants, 2001 Manual, Domestic Currency"
CG01_GEI_G01_CA_XDC,en,"Fiscal, Central Government, Expense, Interest, 2001 Manual, Cash, Domestic Currency"
CG01_GEI_G01_XDC,en,"Fiscal, Central Government, Expense, Interest, 2001 Manual, Domestic Currency"
CG01_GEO_G01_CA_XDC,en,"Fiscal, Central Government, Expense, Other, 2001 Manual, Cash, Domestic Currency"
CG01_GEO_G01_XDC,en,"Fiscal, Central Government, Expense, Other, 2001 Manual, Domestic Currency"
CG01_GES_G01_CA_XDC,en,"Fiscal, Central Government, Expense, Social Benefits, 2001 Manual, Cash, Domestic Currency"
CG01_GES_G01_XDC,en,"Fiscal, Central Government, Expense, Social Benefits, 2001 Manual, Domestic Currency"
CG01_GEST_G01_CA_XDC,en,"Fiscal, Central Government, Expense, Subsidies, 2001 Manual, Cash, Domestic Currency"
CG01_GEST_G01_XDC,en,"Fiscal, Central Government, Expense, Subsidies, 2001 Manual, Domestic Currency"
CG01_GEGS_G01_CA_XDC,en,"Fiscal, Central Government, Expense, Use of Goods and Services, 2001 Manual, Cash, Domestic Currency"
CG01_GEGS_G01_XDC,en,"Fiscal, Central Government, Expense, Use of Goods and Services, 2001 Manual, Domestic Currency"
CG01_GXCBG_G01_XDC,en,"Fiscal, Central Government, Gross operating balance, 2001 Manual, Domestic Currency"
CG01_GX_G01_CA_XDC,en,"Fiscal, Central Government, Memo Item: Expenditure, 2001 Manual, Cash, Domestic Currency"
CG01_GX_G01_XDC,en,"Fiscal, Central Government, Memo Item: Expenditure, 2001 Manual, Domestic Currency"
CG01_GADAFX_T_G01_CA_XDC,en,"Fiscal, Central Government, Net acquisition of financial assets other than cash [32x_CA], Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADAFX_T_G01_XDC,en,"Fiscal, Central Government, Net Acquisition of Financial Assets Other than Cash, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
CG01_GADAFXD_T_G01_CA_XDC,en,"Fiscal, Central Government, Net acquisition of nonfinancial assets excluding cash: Domestic [321x_CA], Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADAFXF_T_G01_CA_XDC,en,"Fiscal, Central Government, Net acquisition of nonfinancial assets excluding cash: Foreign [322x_CA], Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GXCCF_G01_CA_XDC,en,"Fiscal, Central Government, Net cash inflow from financing activities [NFB_CA], 2001 Manual, Cash, Domestic Currency"
CG01_GXCCO_G01_CA_XDC,en,"Fiscal, Central Government, Net cash inflow from operating activities [CIO_CA], 2001 Manual, Cash, Domestic Currency"
CG01_GXCNC_G01_CA_XDC,en,"Fiscal, Central Government, Net change in stock of cash [NCB_CA], 2001 Manual, Cash, Domestic Currency"
CG01_GXOB_G01_XDC,en,"Fiscal, Central Government, Net Lending/borrowing [NLB], 2001 Manual, Domestic Currency"
CG01_GXCNLA_G01_XDC,en,"Fiscal, Central Government, Net lending/borrowing, Adjustment to Net lending/borrowing, 2001 Manual, Domestic Currency"
CG01_GXCBN_G01_XDC,en,"Fiscal, Central Government, Net operating balance, 2001 Manual, Domestic Currency"
CG01_GXCOP_G01_CA_XDC,en,"Central Government (including Social Security), Primary Net cash inflow from operating activities, Domestic Currency"
CG01_GXOBP_G01_XDC,en,"Central Government (including Social Security), Primary operating balance, Domestic Currency"
CG01_GR_G01_XDC,en,"Fiscal, Central Government, Revenue, 2001 Manual, Domestic Currency"
CG01_GRG_G01_CA_XDC,en,"Fiscal, Central Government, Revenue, Grants, 2001 Manual, Cash, Domestic Currency"
CG01_GRG_G01_XDC,en,"Fiscal, Central Government, Revenue, Grants, 2001 Manual, Domestic Currency"
CG01_GRO_G01_CA_XDC,en,"Fiscal, Central Government, Revenue, Other Revenue, 2001 Manual, Cash, Domestic Currency"
CG01_GRO_G01_XDC,en,"Fiscal, Central Government, Revenue, Other Revenue, 2001 Manual, Domestic Currency"
CG01_GRS_G01_CA_XDC,en,"Fiscal, Central Government, Revenue, Social Contributions, 2001 Manual, Cash, Domestic Currency"
CG01_GRS_G01_XDC,en,"Fiscal, Central Government, Revenue, Social Contributions, 2001 Manual, Domestic Currency"
CG01_GRT_G01_CA_XDC,en,"Fiscal, Central Government, Revenue, Tax, 2001 Manual, Cash, Domestic Currency"
CG01_GRT_G01_XDC,en,"Fiscal, Central Government, Revenue, Tax, 2001 Manual, Domestic Currency"
CG01_GRTGS_G01_CA_XDC,en,"Central Government (including Social Security), Taxes on goods & services (Cash), Domestic Currency"
CG01_GRTGS_G01_XDC,en,"Central Government (including Social Security), Taxes on goods and services [114], Domestic Currency"
CG01_GRTI_G01_CA_XDC,en,"Central Government (including Social Security), Taxes on income, profits, and capital gains (Cash), Domestic Currency"
CG01_GRTI_G01_XDC,en,"Central Government (including Social Security), Taxes on income, profits, and capital gains [111], Domestic Currency"
CG01_GRTO_G01_CA_XDC,en,"Central Government (including Social Security), Other taxes (Cash), Domestic Currency"
CG01_GRTO_G01_XDC,en,"Central Government (including Social Security), Other taxes [116], Domestic Currency"
CG01_GRTPAY_G01_CA_XDC,en,"Central Government (including Social Security), Taxes on payroll & workforce (Cash), Domestic Currency"
CG01_GRTPAY_G01_XDC,en,"Central Government (including Social Security), Taxes on payroll and workforce [112], Domestic Currency"
CG01_GRTP_G01_CA_XDC,en,"Central Government (including Social Security), Taxes on property (Cash), Domestic Currency"
CG01_GRTP_G01_XDC,en,"Central Government (including Social Security), Taxes on property [113], Domestic Currency"
CG01_GRTT_G01_CA_XDC,en,"Central Government (including Social Security), Taxes on international trade & transactions (Cash), Domestic Currency"
CG01_GRTT_G01_XDC,en,"Central Government (including Social Security), Taxes on international trade and transactions [115], Domestic Currency"
CG01_GXCCBA_G01_CA_XDC,en,"Fiscal, Central Government, Statistical discrepancy [30x-33+NCB-CSD] *, 2001 Manual, Cash, Domestic Currency"
CG01_GALSDR_G01_XDC,en,"Fiscal, Central Government,Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
CG01_GADLSDR_T_G01_CA_XDC,en,"Fiscal, Central Government,Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
CG01_GADLSDR_T_G01_XDC,en,"Fiscal, Central Government,Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GADANP_T_G01_CA_XDC,en,"Fiscal, General Government,  Assets and Liabilities, Non-financial Assets, Purchases of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADANP_T_G01_XDC,en,"Fiscal, General Government,  Assets and Liabilities, Non-financial Assets, Purchases of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALM_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Debt (at Market Value), Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GAAF_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GAAFCD_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAFCD_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GAAFD_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAFD_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GAAFFD_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAFFD_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADAFFD_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GAAFF_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAFF_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GAAFIR_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAFIR_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADAFIR_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GAAFLS_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAFLS_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADAFLS_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GAAFM_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAFM_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADAFM_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GAAFO_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAFO_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GAAFSO_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAFSO_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADAFSO_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GAAFAE_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAFAE_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADAFAE_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GAL_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADL_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADL_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALCD_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADLCD_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADLCD_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALD_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADLD_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADLD_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALFD_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADLFD_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADLFD_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALF_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADLF_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADLF_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALIR_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADLIR_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADLIR_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALLS_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADLLS_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADLLS_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALO_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADLO_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALSO_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADLSO_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADLSO_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALAE_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADLAE_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADLAE_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GALW_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Net Financial Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GANW_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Net Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GAAN_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency"
GG_GADAN_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADAN_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
GG_GADANKC_T_G01_XDC,en,"General Government, Consumption of fixed capital [=23], Domestic Currency"
GG_GADANS_T_G01_CA_XDC,en,"Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Sales of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency"
GG_GADANS_T_G01_XDC,en,"Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Sales of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency"
